Network\_SocketsTCP.cpp:30      *ERROR* | 13 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 14 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 15 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 16 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 17 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 18 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 19 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 20 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 21 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 22 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 23 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 24 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 25 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 26 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 27 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 28 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 29 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 30 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 31 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

